INLINE Class_Level_Cap_Table,Level Cap
0x00 Separator/Nothing,14
0x01 Ephraim Lord,14
0x02 Eirika Lord,14
0x03 Ephraim Great Lord,14
0x04 Eirika Great Lord,14
0x05 Cavalier,14
0x06 Cavalier (F),14
0x07 Paladin,14
0x08 Paladin (F),14
0x09 Armour Knight,14
0x0A Armour Knight (F),14
0x0B General,14
0x0C General (F),14
0x0D Thief,14
0x0E Manakete,14
0x0F Mercenary,14
0x10 Mercenary (F),14
0x11 Hero,14
0x12 Hero (F),14
0x13 Myrmidon,14
0x14 Myrmidon (F),14
0x15 Swordmaster,14
0x16 Swordmaster (F),14
0x17 Assassin,14
0x18 Assassin (F),14
0x19 Archer,14
0x1A Archer (F),14
0x1B Sniper,14
0x1C Sniper (F),14
0x1D Ranger,14
0x1E Ranger (F),14
0x1F Wyvern Rider,14
0x20 Wyvern Rider (F),14
0x21 Wyvern Lord,14
0x22 Wyvern Lord (F),14
0x23 Wyvern Knight,14
0x24 Wyvern Knight (F),14
0x25 Mage,14
0x26 Mage (F),14
0x27 Sage,14
0x28 Sage (F),14
0x29 Mage Knight,14
0x2A Mage Knight (F),14
0x2B Bishop,14
0x2C Bishop (F),14
0x2D Shaman,14
0x2E Shaman (F),14
0x2F Druid,14
0x30 Druid (F),14
0x31 Summoner,14
0x32 Summoner (F),14
0x33 Rogue,14
0x34 Gorgon Egg,14
0x35 Great Knight,14
0x36 Great Knight (F),14
0x37 Recruit (2),14
0x38 Journeyman (3),14
0x39 Pupil (3),14
0x3A Recruit (3),14
0x3B Manakete,14
0x3C Manakete (F),14
0x3D Journeyman (1),14
0x3E Pupil (1),14
0x3F Fighter,14
0x40 Warrior,14
0x41 Brigand,14
0x42 Pirate,14
0x43 Berserker,14
0x44 Monk,14
0x45 Priest,14
0x46 Bard,14
0x47 Recruit (1),14
0x48 Pegasus Knight,14
0x49 Falcon Knight,14
0x4A Cleric,14
0x4B Troubadour,14
0x4C Valkyrie,14
0x4D Dancer,14
0x4E Soldier,14
0x4F Necromancer,14
0x50 Fleet,14
0x51 Phantom,14
0x52 Revenant,14
0x53 Entombed,14
0x54 Bonewalker,14
0x55 Bonewalker (Bow),14
0x56 Wight,14
0x57 Wight (Bow),14
0x58 Bael,14
0x59 Elder Bael,14
0x5A Cyclops,14
0x5B Mauthe Doog,14
0x5C Gwyllgi,14
0x5D Tarvos,14
0x5E Maelduin,14
0x5F Mogall,14
0x60 Arch Mogall,14
0x61 Gorgon,14
0x62 Gorgon Egg,14
0x63 Gargoyle,14
0x64 Deathgoyle,14
0x65 Dracozombie,14
0x66 Demon King,14
0x67 Archer on Ballista,14
0x68 Archer on Iron Ballista,14
0x69 Archer on Killer Ballista,14
0x6A Ballista,14
0x6B Iron Ballista,14
0x6C Killer Ballista,14
0x6D Civilian,14
0x6E Civilian (F),14
0x6F Civilian,14
0x70 Civilian (F),14
0x71 Civilian,14
0x72 Civilian (F),14
0x73 Peer,14
0x74 Queen,14
0x75 Prince,14
0x76 Queen,14
0x77 (empty),14
0x78 Fallen Prince,14
0x79 Tent,14
0x7A Pontifex,14
0x7B Fallen Peer,14
0x7C Cyclops 2,14
0x7D Elder Bael 2,14
0x7E Journeyman (2),14
0x7F Invalid,14
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
